id,name,description,price,stock,category,attributes
LAMP-001,مصباح ذكي RGB,مصباح ذكي يتغير لونه عن طريق الجوال - 16 مليون لون,45000,15,smart,ذكي|ملون|تطبيق|220V
LAMP-002,لمبة LED موفرة 12W,لمبة موفرة للطاقة - ضوء أبيض بارد,8000,50,led,موفرة|12W|أبيض|220V
LAMP-003,لمبة LED موفرة 18W,لمبة موفرة للطاقة - ضوء أبيض دافئ,12000,40,led,موفرة|18W|دافئ|220V
LAMP-004,ثريا كريستال كلاسيك,ثريا كريستال فاخرة - 8 أذرع - مناسبة لغرف المعيشة,350000,5,chandelier,كريستال|8 أذرع|فاخر
LAMP-005,ثريا مودرن LED,ثريا عصرية بإضاءة LED مدمجة - ريموت كنترول,280000,8,chandelier,مودرن|LED|ريموت
LAMP-006,سبوت لايت LED 7W,سبوت لايت للسقف المستعار - ضوء مركز,15000,100,spotlight,سبوت|7W|سقف مستعار
LAMP-007,سبوت لايت LED 12W,سبوت لايت قوي للمحلات والمكاتب,22000,80,spotlight,سبوت|12W|تجاري
LAMP-008,شريط LED ملون 5 متر,شريط LED RGB مع ريموت - للديكور,35000,30,strip,شريط|RGB|5 متر|ديكور
LAMP-009,مصباح طاولة USB,مصباح مكتب قابل للشحن - 3 مستويات إضاءة,25000,25,table,مكتب|USB|قابل للشحن
LAMP-010,مصباح أرضي مودرن,مصباح أرضي طويل - تصميم عصري - أبيض,85000,10,floor,أرضي|مودرن|أبيض
LAMP-011,كشاف خارجي 50W,كشاف LED مقاوم للماء - للحدائق والساحات,55000,20,outdoor,خارجي|50W|مقاوم للماء
LAMP-012,كشاف شمسي 100W,كشاف يعمل بالطاقة الشمسية - بطارية مدمجة,75000,15,outdoor,شمسي|100W|بطارية
